(12/20/2023 12:23:39 PM) |> ----------------------------------------------
(12/20/2023 12:23:39 PM) |> Method; (SetupFormClass.SetupFormClass) [Start Up]
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 5; 5 Points
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (530, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (585, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (640, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (750, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (805, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (860, 5)
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (860, 860)
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.UpdatePoints) [1114]
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 5; 5 Points
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.ActivateClick)
(12/20/2023 12:51:24 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-2)
(12/20/2023 12:51:24 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-9)
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (14), Added; (red 5; 5 Points)
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (4)
Player1 CardCount; (7)
    PlusAmount (0)
    Discard Pile Count; (14), Top Card; (red 5; 5 Points)
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (4)
Player1 CardCount; (8)
    PlusAmount (0)
    Discard Pile Count; (14), Top Card; (red 5; 5 Points)
(12/20/2023 12:51:29 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (1)
(12/20/2023 12:51:29 PM) |> method; (GameLogicClass.cardPB_Click), Card Index (1)
(12/20/2023 12:51:29 PM) |> method; (wildFormClass.wildFormClass)
(12/20/2023 12:51:31 PM) |> method; (wildFormClass.greenBT_Click) [this.Tag = green]
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.CardPlay), c_card; (green) (+4_wild), add, 4
(12/20/2023 12:51:31 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:51:31 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 82), Value; (3)
(12/20/2023 12:51:31 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:51:31 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 81), Value; (60)
(12/20/2023 12:51:31 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:51:31 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 80), Value; (33)
(12/20/2023 12:51:31 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:51:31 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 79), Value; (40)
(12/20/2023 12:51:31 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.AddCards), cards added; (AddCards Index: 1 AddCards Index: 1 AddCards Index: 1 AddCards Index: 1 )
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.AddLogic)
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.CardClickLogic), Card Index; (1), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, +4_wild), Player Index (1)
(12/20/2023 12:51:31 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (640, 765)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (695, 765)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (750, 765)
(12/20/2023 12:51:31 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (750, 750)
(12/20/2023 12:51:31 PM) |> method; (PlayerClass.UpdatePoints) [1998]
(12/20/2023 12:51:31 PM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/20/2023 12:51:31 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (green +4_wild; 50 Points
(12/20/2023 12:51:31 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (420, 5)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (475, 5)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (530, 5)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (585, 5)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (640, 5)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (750, 5)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (805, 5)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (860, 5)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (915, 5)
(12/20/2023 12:51:31 PM) |> method; (CardClass.SetPBLocation), x, y; (970, 5)
(12/20/2023 12:51:31 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (970, 970)
(12/20/2023 12:51:31 PM) |> method; (PlayerClass.UpdatePoints) [1217]
(12/20/2023 12:51:31 PM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/20/2023 12:51:31 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (green +4_wild; 50 Points
(12/20/2023 12:51:31 PM) |> method; (PlayerClass.ActivateClick)
(12/20/2023 12:51:31 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (4)
(12/20/2023 12:51:31 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (7)
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (15), Added; (green +4_wild; 50 Points)
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/20/2023 12:51:31 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (green +4_wild; 50 Points
(12/20/2023 12:51:31 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 1), Value; (0)
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (3)
(12/20/2023 12:51:31 PM) |> method; (AIClass.Play()) [AI Play], Current player team; (2), Player e_Hand amount; (2), Card index; (0), Card (e_Hand); (System.Drawing.Bitmap), game.is_Flipped; (False); CardIndex (Hand); 3
(12/20/2023 12:51:31 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (3)
(12/20/2023 12:51:31 PM) |> method; (wildFormClass.wildFormClass)
(12/20/2023 12:51:35 PM) |> method; (wildFormClass.greenBT_Click) [this.Tag = green]
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.CardPlay), c_card; (green) (+4_wild), add, 4
(12/20/2023 12:51:35 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:51:35 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 78), Value; (15)
(12/20/2023 12:51:35 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:51:35 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 77), Value; (45)
(12/20/2023 12:51:35 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:51:35 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 76), Value; (33)
(12/20/2023 12:51:35 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:51:35 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 75), Value; (53)
(12/20/2023 12:51:35 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.AddCards), cards added; (AddCards Index: 0 AddCards Index: 0 AddCards Index: 0 AddCards Index: 0 )
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.AddLogic)
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.CardClickLogic), Card Index; (3), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, +4_wild), Player Index (0)
(12/20/2023 12:51:35 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (530, 765)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (585, 765)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (640, 765)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (695, 765)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (750, 765)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (805, 765)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (860, 765)
(12/20/2023 12:51:35 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (860, 860)
(12/20/2023 12:51:35 PM) |> method; (PlayerClass.UpdatePoints) [2051]
(12/20/2023 12:51:35 PM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/20/2023 12:51:35 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (green +4_wild; 50 Points
(12/20/2023 12:51:35 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (445, 5)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (500, 5)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (555, 5)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (610, 5)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (775, 5)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (830, 5)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (885, 5)
(12/20/2023 12:51:35 PM) |> method; (CardClass.SetPBLocation), x, y; (940, 5)
(12/20/2023 12:51:35 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (940, 940)
(12/20/2023 12:51:35 PM) |> method; (PlayerClass.UpdatePoints) [1270]
(12/20/2023 12:51:35 PM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/20/2023 12:51:35 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (green +4_wild; 50 Points
(12/20/2023 12:51:35 PM) |> method; (PlayerClass.ActivateClick)
(12/20/2023 12:51:35 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-1)
(12/20/2023 12:51:35 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (0)
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (16), Added; (green +4_wild; 50 Points)
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (7)
Player1 CardCount; (10)
    PlusAmount (0)
    Discard Pile Count; (16), Top Card; (green +4_wild; 50 Points)
(12/20/2023 12:51:35 PM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (3)
Player1 CardCount; (11)
    PlusAmount (0)
    Discard Pile Count; (16), Top Card; (green +4_wild; 50 Points)
(12/20/2023 12:51:37 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (2)
(12/20/2023 12:51:37 PM) |> method; (GameLogicClass.cardPB_Click), Card Index (2)
(12/20/2023 12:51:37 PM) |> method; (GameLogicClass.CardPlay), c_card; (green) (skip), error
(12/20/2023 12:51:37 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:37 PM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/20/2023 12:51:37 PM) |> method; (GameLogicClass.AddLogic)
(12/20/2023 12:51:37 PM) |> method; (GameLogicClass.CardClickLogic), In skip
(12/20/2023 12:51:37 PM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/20/2023 12:51:37 PM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/20/2023 12:51:37 PM) |> method; (GameLogicClass.CardClickLogic), Card Index; (2), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, skip), Player Index (0)
(12/20/2023 12:51:37 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:37 PM) |> method; (CardClass.SetPBLocation), x, y; (555, 765)
(12/20/2023 12:51:37 PM) |> method; (CardClass.SetPBLocation), x, y; (610, 765)
(12/20/2023 12:51:37 PM) |> method; (CardClass.SetPBLocation), x, y; (665, 765)
(12/20/2023 12:51:37 PM) |> method; (CardClass.SetPBLocation), x, y; (720, 765)
(12/20/2023 12:51:37 PM) |> method; (CardClass.SetPBLocation), x, y; (775, 765)
(12/20/2023 12:51:37 PM) |> method; (CardClass.SetPBLocation), x, y; (830, 765)
(12/20/2023 12:51:37 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (830, 830)
(12/20/2023 12:51:37 PM) |> method; (PlayerClass.UpdatePoints) [2084]
(12/20/2023 12:51:37 PM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/20/2023 12:51:37 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (green skip; 20 Points
(12/20/2023 12:51:37 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:37 PM) |> method; (CardClass.SetPBLocation), x, y; (445, 5)
(12/20/2023 12:51:37 PM) |> method; (CardClass.SetPBLocation), x, y; (500, 5)
(12/20/2023 12:51:37 PM) |> method; (CardClass.SetPBLocation), x, y; (555, 5)
(12/20/2023 12:51:37 PM) |> method; (CardClass.SetPBLocation), x, y; (610, 5)
(12/20/2023 12:51:37 PM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/20/2023 12:51:37 PM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
